メニュー名,分量,カロリー,塩分,調理時間,画像URL,材料,作り方,URL
えのきの肉巻き,2人分,約210kcal,0.2g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0756.jpg,"えのきだけ: 100g
豚ロース薄切り肉: 150g
焼き肉のたれ: 適量","1 水タンクに水を入れる。(水位1以上)
2 角皿の中央に調理網1枚をのせる
3 えのきだけは石づきを取り、6等分する。
4 豚ロース薄切り肉を、6等分して広げ、3を巻く。
5 焼き肉のたれを4にからめ、巻き終わりを下にして調理網の中央に並べ、上段に入れる。
お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → パパッと10分 → 焼き → スタート
手動でするときは：角皿に調理網1枚をのせ、下段に入れ、ウォーターグリル・予熱なしで13～15分※自動加熱とは棚位置が異なります。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0756
えび入り二色シュウマイ,4人分,約237kcal,1.4g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1097.jpg,"むきえび(5mm角に切る): 120g
鶏ひき肉: 160g
玉ねぎ(みじん切り): 1/2個(100g)
たけのこの水煮(粗みじん切り): 60g
生しいたけ(粗みじん切り): 2個(30g)
おろししょうが: 20g
塩: 少々(0.4g)
しょうゆ・ごま油・片栗粉: 各小さじ2
はんぺん: 1枚(100g)
餃子の皮(2mm幅の細切り): 6枚(36g)
スイートコーン(缶詰・粒状): 40g
片栗粉: 小さじ4","1 水タンクに水を入れる。(水位2)
2 スイートコーンの水気をキッチンペーパーでふき取る。
3 はんぺんは手で細かくちぎり、ボウルに入れる。[A]を加え、粘りが出るまでよく混ぜ合わせる。
4 3を16等分にして丸める。半分の8つに餃子の皮をしっかりとつける。残りの8つの表面に片栗粉をまぶし、2を押しつけるようにしっかりとつける。
5 角皿に調理網2枚をのせてクッキングシートを敷き、4を並べ、上段に入れる。
手動調理 → 蒸し物 → 約13分 → スタート
おすすめポイント
●はんぺんを使っているので、エネルギーと脂質を抑えながら、ボリュームはたっぷりです。
●たっぷりの蒸気で、シュウマイをしっとり、ふっくら蒸すことができます。
●むきえびの代わりにいかを使ったり、たけのこの水煮の代わりにれんこんを細かく切って使っても、食感が楽しめます。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1097
えび入り二色シュウマイ＆青菜のあえ物,2人分,約251kcal,1.9g,12分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0832.jpg,"むきえび(5mm角に切る): 60g
鶏ひき肉: 80g
玉ねぎ(みじん切り): 1/4個(50g)
たけのこの水煮(粗みじん切り): 30g
生しいたけ(粗みじん切り): 1個(15g)
おろししょうが: 10g
塩: 少々(0.2g)
しょうゆ・ごま油・片栗粉: 各小さじ1
はんぺん: 1/2枚(50g)
餃子の皮(2mm幅の細切り): 3枚(18g)
スイートコーン(缶詰・粒状): 20g
片栗粉: 小さじ2
えのきだけ(半分に切ってほぐす): 30g
しいたけ(2mm幅の薄切り): 2個(30g)
チンゲン菜(5cm幅のざく切り): 100g
しょうゆ: 小さじ1
練りからし: 適量(0.5g)","1 水タンクに水を入れる。(水位2)
2 スイートコーンの水気をキッチンペーパーでふき取る。
3 はんぺんは手で細かくちぎり、ボウルに入れる。[A]を加え、粘りが出るまでよく混ぜ合わせる。
4 3を8等分にして丸める。半分の4つに餃子の皮をしっかりとつける。残りの4つの表面に片栗粉をまぶし、2を押しつけるようにしっかりとつける。
5 角皿の左側に調理網1枚をのせてクッキングシートを敷き、4を並べる。
6 [B]を金属製のザルに入れる。アルミホイルで型を作り、チンゲン菜を入れる。5の角皿の右側にのせ、上段に入れる。

手動調理 → 蒸し物 → 約12分 → スタート
7 加熱後、[B]と水気を絞ったチンゲン菜を[C]であえる。
★栄養成分★
エネルギー・・・251kcal
たんぱく質・・・28.9g
脂質・・・6.2g
炭水化物・・・20.6g
ナトリウム・・・731mg
カリウム・・・741mg
カルシウム・・・93mg
リン・・・347mg
食物繊維・・・3.3g
食塩相当量・・・1.9g
おすすめポイント

●はんぺんを使っているので、エネルギーと脂質を抑えながら、ボリュームはたっぷりです。青菜のからしじょうゆあえは、からしがアクセントになり、少量のしょうゆでも味がしっかりと感じられます。
●たっぷりの蒸気で、シュウマイをしっとり、ふっくら蒸すことができます。
●むきえびの代わりにいかを使ったり、たけのこの水煮の代わりにれんこんを細かく切って使っても、食感が楽しめます。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0832
えびおこわ,,約320kcal(1/4量),1.0g,23分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0518.jpg,"もち米: 2合(300g)
水(酒大さじ1を加えて): 270mL
塩: 小さじ1/2
干しえび: 20g
昆布(5cm角): 1枚","1 水タンクに水を入れる。(水位2)
2 洗ったもち米と[A]を金属製バット(27×21×高さ3.5cm)に入れ、約1時間つけておく。
3 角皿に調理網2枚をのせ、2をのせる。
4 3を上段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → 煮物・ごはん → 赤飯 → 分量選択 → スタート
手動でするときは：蒸し物で約23分(1合は約17分、3合は約28分)
※角皿を取り出す際、金属バットがすべりやすいので注意してください。
5 加熱後、昆布を取り出して軽く全体を混ぜ、乾いたふきんをかけて約10分蒸らす。粗熱が取れれば、好みの大きさのおにぎりを作る。
※彩りに季節の野菜(たけのこ、枝豆、しめじなど)の材料を加えて加熱してもよいでしょう。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0518
えびとアスパラガスのタルタルソース,4人分,約122kcal,0.2g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1076.jpg,"えび: 8尾
卵: M2個
アスパラガス(4等分の長さに切る): 8本","1 水タンクに水を入れる。(水位2)
2 角皿に調理網2枚をのせ、えび、卵、金属製のザルに入れたアスパラガスを並べる。
3 2を上段に入れる。

※写真の付属品は、実際のものとは異なります。
まかせて調理 蒸す・ゆでる → スタート
※ゆで卵はみじん切りの玉ねぎとマヨネーズ、塩、こしょうであえてタルタルソースにしましょう。
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1076
えびとアスパラガスのチーズ炒め,4人分,約230kcal,1.2g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1434.jpg,"えび: 16尾(240g)
グリーンアスパラガス: 1束(85g)
マッシュルーム: 1パック
カマンベールチーズ: 1箱(100g)
にんにく: 1片
塩: 少々
オリーブ油: 大さじ2
白ワイン: 1/3カップ
コンソメ(顆粒): 5g
こしょう: 少々","1 水タンクに水を入れる。(水位1以上)
2 えびは背わたを取り、サッと洗って水気をふく。
3 グリーンアスパラガスは根元から1cmぐらいのところで切り落とし、5cmくらいの斜め切りにする。
4 マッシュルームは半分にカットし、にんにくは包丁で押し潰す。
5 オリーブ油、2、3、4、塩、白ワイン、コンソメ(顆粒)を混ぜる。
6 角皿にアルミホイルを敷き、5をひろげる。角皿を上段に入れる。
まかせて調理 炒める → スタート
7 加熱後、カマンベールチーズをちぎりながら加え、余熱でチーズを温める。仕上げにこしょうをふる。
レシピ提供：ボブとアンジー　監修：料理研究家　石川　定子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1434
えびとアスパラガスのピリ辛炒め,4人分,約160kcal,2.0g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1269.jpg,"えび: 大16尾
塩: 少々
酒: 少々
塩: 適量
こしょう: 適量
酒: 小さじ2
卵白: 20g
片栗粉: 大さじ1
長ねぎ: 20g
しょうが: 10g
グリーンアスパラガス: 6本
ヤングコーン(缶詰): 8本
エリンギ: 1パック
豆板醤(トウバンジャン): 小さじ2/3
鶏がらスープの素: 小さじ2/3
塩: 適量
こしょう: 適量
酒: 大さじ1
サラダ油: 適量
片栗粉: 小さじ1/2","1 水タンクに水を入れる。(水位1以上)
2 えびは殻をむいて背開きにし、背わたを取る。下味に塩、酒を加えてもみ、水洗いして水気をふき取る。[A]を順に加えてよく混ぜる。
3 長ねぎは1cmの長さのぶつ切りにし、しょうがは2cm角の色紙切りにする。
4 グリーンアスパラガスは、ハカマと根元の固い部分を除き、5cmの長さの斜め切りにする。ヤングコーンは斜め半分に切る。エリンギは大きめの乱切りにする。
5 バットもしくはアルミホイルで作った型(21cm×27cm)の中に、長ねぎ、ショウガ、グリーンアスパラガス、ヤングコーン、エリンギ、えびを入れる。
6 [B]、豆板醤、サラダ油、片栗粉を混ぜ合わせ、5に加える。
7 角皿に6をのせ、上段に入れます。

まかせて調理 炒める → スタート
8 加熱が終了したら、よく混ぜ合わせてから盛り付けます。
レシピ提供：ボブとアンジー　監修：管理栄養士　平沼　亜由美",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1269
えびとアスパラのクリームパスタ(レンジメニュー),2人分,約637kcal,1.5g,19分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2205.jpg,"スパゲティ(7分ゆでタイプ・太さ1.6mmのもの): 160g
えび(殻をむいて背ワタを取る): 150g
塩: 少々
こしょう: 少々
アスパラガス(斜め切り): 4本
水: 300mL
オリーブオイル: 大さじ2
塩: 少々
生クリーム: 75mL
粉チーズ: 15g
ブラックペッパー: 少々","1 耐熱容器に[A]を入れ、混ぜ合わせる。半分に折ったスパゲティを向きをそろえて入れ、塩、こしょうをふったえび、アスパラガスを加えて、ふんわりとラップをして庫内中央に置く。(角皿は入れません)
お料理選択 → らくチン１品 → らくチン！パスタ → スタート
2 加熱後、すぐにフォークで底から混ぜ合わせてほぐし、[B]を加えて、さらに混ぜ合わせる。
らくチン！パスタのポイント
・ボウルは「レンジ加熱可」の耐熱性の容器をご使用ください。材料が入る大きさであれば、どんな大きさのものでも使えます。
・材料は、2人分を記載しています。半量や倍量にして、1～4人分まで自動で調理することができます。
・食材は、手順に記載の順に入れてください。
詳しくは、《コチラ！》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2205
えびとアスパラのさっぱり蒸し,2人分,約91kcal,0.5g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0777.jpg,"えび: 10尾
酒、片栗粉: 各大さじ1/2
塩、こしょう: 各少々
アスパラガス(斜め切り): 4本
にんにく、しょうが(みじん切り): 各少々
レモン汁: 小さじ2
塩、こしょう: 各少々","1 水タンクに水を入れる。(水位2)
2 えびは尾を残して殻をむき、背の方に切り込みを入れて背ワタを取る。洗って水気をふき、底の平らな耐熱容器に入れる。
3 2に[A]をもみこむ。
4 アスパラガス、にんにくとしょうが、レモン汁、塩、こしょうを加えて混ぜる。
5 角皿の中央に4を置き、上段に入れる。
お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → パパッと10分 → 蒸し → スタート
手動でするときは：蒸し物で約8～10分
6 加熱後、よく混ぜ合わせる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0777
えびとアボカドのサラダ,4人分,約260kcal,0.7g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0651.jpg,"えび: 12尾(240g)
白ワイン: 大さじ1
アボカド: 2個(1個230g)
ミニトマト: 8個
レモン汁: 適量
フレンチドレッシング: 大さじ4
ブラックペッパー: 適量","1 水タンクに水を入れる。(水位2)
2 えびは殻つきのまま背ワタを取り、底の平らな耐熱容器に入れて白ワインをふる。
3 角皿に2をのせ、上段に入れる。
手動調理 → 低温調理 → ソフト蒸し(低温スチーム) → 80℃・約15分 → スタート
4 アボカドは、縦半分に切り、種を取って中身を取り出す。小切りにして、レモン汁をかけておく。
※アボカドの皮は器に使用するので、とっておく。
5 加熱後、えびの殻をむいて、適当な大きさに切り、4と半分に切ったミニトマト、フレンチドレッシングで軽くあえる。
6 アボカドの皮に、5を盛りつけ、ブラックペッパーをふる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0651
えびときのこのココナッツオイルソテー,4人分,約236kcal,2.1g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1257.jpg,"えび(ブラックタイガー): 20尾(1尾30g)
エリンギ: 大2本
にんにく: 2片
白ワイン: 大さじ2
EVココナッツオイル(またはオリーブオイル): 大さじ4
しょうゆ: 大さじ2
塩: 少々
黒こしょう(あらびき): 適量","1 水タンクに水を入れる。(水位1以上)
2 えびは、殻をむいて背ワタを取り、ボウルに入れて白ワインをまぶしておく。にんにくは薄切りにする。エリンギはひと口大に切る。
3 金属製のバットに2を入れて、ココナッツオイル、しょうゆを加える。
4 3のバットを角皿にのせ、上段に入れる。

まかせて調理 炒める → スタート → 弱め(※30秒以内に押す。)
5 加熱が終了したら、塩で味をととのえる。器に盛り、黒こしょうをふる。
レシピ提供：ボブとアンジー　監修：管理栄養士　平沼　亜由美",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1257
えびとパプリカのあっさり塩炒め,4人分,約141kcal,1.0g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1341.jpg,"えび(殻つき): 12尾
パプリカ(赤): 160g
パプリカ(黄): 160g
さやいんげん: 80g
しょうが(みじん切り): 小さじ1
にんにく(みじん切り): 小さじ1
ごま油: 小さじ1
塩: ひとつまみ
酒: 小さじ2
卵白: 小さじ3
片栗粉: 小さじ2
砂糖: ひとつまみ
鶏がらスープの素: 1.5g
塩: 小さじ1/6
こしょう: 少々","1 水タンクに水を入れる。(水位1以上)
2 えびは背わたと殻を除き、塩水(分量外)で洗って水気をふいておく。
3 パプリカは長めの乱切りにし、さやいんげんは両端を切り落とし、4～5cmの長さに切る。
4 ボウルにえびを入れ、[A]を順に入れてその都度混ぜ、下味を付け、片栗粉をまぶす。
5 角皿にクッキングシートを敷き、3、4を順に広げてのせます。その上に[B]、ごま油、みじん切りのしょうがと、にんにくを広げてのせる。
6 角皿を上段に入れます。
まかせて調理 炒める → スタート
7 加熱後、全体をよく混ぜて盛り付ける。
レシピ提供：ボブとアンジー　監修：料理研究家　石井　美音",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1341
えびと野菜の炒め物,4人分,約269kcal,1.5g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1569.jpg,"えび: 300g
酒: 大さじ1
塩: 少々
こしょう: 少々
卵白: 1/2個分
片栗粉: 大さじ1
長ねぎ: 1/3本
しょうが: 10g
セロリ: 1/2本
ピーマン: 3個
玉ねぎ: 1/2個
豆板醤(トウバンジャン): 小さじ1
砂糖: 小さじ1/2
酒: 小さじ1
しょうゆ: 大さじ1
酢: 小さじ1
鶏がらスープ: 大さじ2
片栗粉: 小さじ1/2
サラダ油: 適量","1 水タンクに水を入れる。(水位1以上)
2 えびは殻、背わたを取り、下味[A]を付ける。
3 長ねぎは1cmの長さのぶつ切り、しょうがは1cm角の薄切りにする。
4 セロリは筋を取り、ピーマンは種を除き、玉ねぎとともにそれぞれ太めのせん切りにする。
5 角皿ににクッキングシートを敷き3、4を広げてのせ、その上に2のえびを広げ、合わせ調味料[B]を回しかける。
6 角皿を上段に入れる。
まかせて調理 炒める → スタート
7 加熱後、全体をよく混ぜる。
レシピ提供：ボブとアンジー　監修：料理家　丹下　慶子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1569
えびとれんこんのバルサミコ酢和え,4人分,約134kcal,1.7g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1278.jpg,"えび: 8～10尾(皮を剥いて約100g)
れんこん: 100g
しめじ: 100g(1/2パック)
えのきだけ: 100g(1/2パック)
しょうが汁: 小さじ1
薄口しょうゆ: 大さじ1
バルサミコ酢: 大さじ2
オリーブ油: 大さじ1
塩: 少々
あさつき: 適量","1 水タンクに水を入れる。(水位2)
2 えびは背わたを取って片栗粉(分量外)でかるくもみ洗いし水洗いする。
3 れんこんは皮をむき、薄いイチョウ切りにして酢水にさらす。しめじ、えのきだけは石突きを取り、小房に分けて、れんこんと共に高さ5cmぐらいの金属製のザルに入れる。
4 角皿に調理網2枚をのせ、2、3を並べる。

※写真の付属品は、実際のものとは異なります。
5 4を上段に入れる。
まかせて調理 蒸す・ゆでる → スタート
6 加熱後、キノコから出た水を捨て、[A]であえる。
レシピ提供：ボブとアンジー　監修：料理研究家　石川　定子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1278
えびのうま煮,,約81kcal(1尾),2.0g,16分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0307.jpg,"有頭えび: 4尾(1尾40g)
水: 50mL
酒: 150mL
砂糖: 20g
塩: 小さじ2/3
薄口しょうゆ: 大さじ1と1/3","1 水タンクに水を入れる。(水位2)
2 有頭えびは、殻付きのまま背ワタを取り、尾は先を斜めに切り、長いひげは切る。
3 底の平らな浅い耐熱容器に[A]を入れて混ぜ合わせ、2を加えてラップをたるませて食品に密着するようにかぶせる。
4 角皿に3をのせ、上段に入れる。
手動調理 → 蒸し物 → 約16分 → スタート
5 加熱後、えびの上下を返してたれにからめ、冷ます。
作りかた動画はこちら",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0307
えびの辛味炒め,4人分,約228kcal,1.7g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1389.jpg,"大正えび(有頭): 8尾
酒: 大さじ1/2
しょうゆ: 大さじ1/2
長ねぎ: 1/2本
しょうが: 10g
にんにく: 1片
赤唐辛子: 2本
鶏がらスープ: 150mL
豆板醤(トウバンジャン): 大さじ3/4
酒: 大さじ1と1/2
砂糖: 小さじ2
トマトケチャップ: 大さじ3
水溶き片栗粉: 大さじ1/2
揚げ油: 適量
ワンタンの皮: 適量
赤唐辛子: 適量","1 水タンクに水を入れる。(水位1以上)
2 えびは背わたを取り、ひげ、足を切り、尾の先は切りそろえて水をしごき出し、2つに切る。酒、しょうゆをふって、下味を付ける。
3 青ねぎはみじん切りにし、しょうが、にんにくは粗みじん切りにし、赤唐辛子は小口切りにする。
4 底の平らな耐熱容器に3を入れ、[A]を加えてよく混ぜ合わせ、2をのせる。
5 4を角皿にのせ、上段に入れる。
まかせて調理 炒める → スタート
6 ワンタンの皮は細く切って色よく揚げる。
7 器に5を盛り、周囲に6をのせて、細いせん切りにした赤唐辛子を散らす。
レシピ提供：ボブとアンジー　監修：料理家　菊池　令子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1389
えびのガーリック炒め,4人分,約146kcal,1.2g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2249.jpg,"えび(大きめのブラックタイガーがおすすめ): 20尾
白ワイン: 小さじ2
塩: 適量
こしょう: 適量
にんにく(みじん切り): 1かけ
しょうゆ: 大さじ1
オリーブオイル: 大さじ1
バター: 20g","1 水タンクに水を入れる。(水位1以上)
2 えびは殻と背ワタを取り、塩、こしょう、白ワインをふりかけ、もみこむ。
3 ビニール袋に、[A]とキッチンペーパーで水気を拭き取った2を入れ、もみこむ。
4 角皿にクッキングシートを敷き、3を重ならないように並べ、角切りにしたバターを散らし、上段に入れる。

まかせて調理 炒める → スタート → 弱め(※30秒以内に押す)
漬けおき冷凍しておくことで、「まかせて調理」がさらに便利に！
冷凍食材も解凍せずそのまま調理できる「まかせて調理」と漬けおき冷凍は、相性のいい組み合わせです。
時間があるときに作って冷凍保存しておけば、毎日の食事の準備時間がぐんと短縮できます。
1品足りない！っていうときにも、冷凍室にストックがあれば安心です。
《準備》
殻と背ワタを取り、塩・こしょう・白ワインをふりかけてもみこみ、水気をふき取ってからたれに漬けこみます。
冷凍保存袋にできるだけバラバラになるように入れ、冷凍します。

《加熱》
加熱するときに小さく切ったバターを散らします。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2249
えびのグリル,2人分,約128kcal,0.7g,8分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0901.jpg,"えび: 8尾(1尾20g)
オリーブオイル: 大さじ1
しょうゆ: 小さじ1
おろしにんにく、ブラックペッパー、一味とうがらし: 各適量","1 水タンクに水を入れる。(水位1以上)
2 調理網2枚を2段に重ね、角皿の中央にのせる。
3 えびは、殻付きのまま背開きにし、身の部分に浅く切り込みを入れて開き、調理網に並べる。
※調理はさみを利用すると便利です。
4 [A]を混ぜ合わせて3に等分にかける。
5 4を上段に入れる。

お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → サッと8分 → 焼き → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0901
えびの五目炒め,4人分,約178kcal,1.8g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1560.jpg,"えび: 正味180g
しょうが(すりおろす): 2g
酒: 小さじ1
片栗粉: 小さじ1
ごま油: 小さじ1/2
塩: 小さじ1/3
ピーマン(赤): 2個
チンゲン菜: 2株
きくらげ(乾燥): 3g
ヤングコーン(水煮): 40g
青ねぎ: 1本
片栗粉: 小さじ1
鶏ガラスープの素: 小さじ1
しょうゆ: 小さじ1
オイスターソース: 小さじ1
ごま油: 小さじ1","1 水タンクに水を入れる。(水位1以上)
2 [A]をビニール袋に合わせ、えびは殻、背わたを取り、水気をふきとって加え入れ、よくもみ込みしばらくおく。
3 ピーマン、チンゲン菜はひと口大の乱切りにし、きくらげは戻して同様に切り、ヤングコーンは斜め半分に切り、青ねぎは小口切りにしてビニール袋に合わせて入れておく。
4 角皿にクッキングシートを敷いておく。
5 野菜の入ったビニール袋に片栗粉を加えて、空気が入った状態で口を閉じて、ポンポンとゆすって全体に片栗粉をまぶしてから、[B]の調味料を合わせて加え入れ、もう一度ゆすって全体に味をなじませたら、クッキングシートの上にあける。その上に2のえびをのせる。
6 角皿を上段に入れる。
まかせて調理 炒める → スタート
7 加熱後、取り出したら全体をよく混ぜる。
レシピ提供：ボブとアンジー　監修：家庭料理アドバイザー　たに　けいこ",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1560
えびのサラダ,4人分,約102kcal,0.2g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0997.jpg,"えび(殻をむいて背ワタを取る): 12尾
ブロッコリー(小房に分ける): 300g
卵: M4個","1 水タンクに水を入れる。(水位2)
2 角皿に調理網2枚をのせ、材料を並べる。

※えびは金属製のザルに入れてもよいでしょう。
※写真の付属品は、実際のものとは異なります。
3 2を上段に入れる。
まかせて調理 蒸す・ゆでる → スタート
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0997
えびの塩焼き,,約18kcal(1尾),0.1g,11分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0301.jpg,"有頭えび: 4尾(1尾40g)
塩: 適量","1 えびに塩をふり、尾から竹串を刺す。
2 角皿の中央に調理網1枚をのせ、えびを並べて下段に入れる。
手動調理 → グリル → 予熱なし・約10分 → スタート
※1尾約80gの場合は、11～12分にします。
3 加熱後、竹串をまわしながら抜く。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0301
えびの姿蒸し,2人分,約175kcal,2.2g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1299.jpg,"えび: 正味60g
塩: 少々
玉ねぎみじん切り: 10g
パクチーの茎のみじん切り: 10g
片栗粉: 小さじ1/2
豚ひき肉: 60g
塩: 少々
しょうが(おろし): 3g
ガーリックパウダー: 少々
こしょう: 少々
ごま油: 小さじ1/4
有頭えび: 4尾(120g)
塩: 少々
ガーリックパウダー: 少々
こしょう: 少々
紹興酒: 小さじ1/2
片栗粉: 小さじ1
パクチーの葉: 4枚
シュウマイの皮: 4枚","1 水タンクに水を入れる。(水位2)
2 有頭えびは胴のみ殻と背わたをとり、腹側に3mm間隔に浅い切り込みを入れてまっすぐにのばし、背の中央から腹側に切り込みを入れて貫通させる。※頭と尻尾が切れてしまわないように注意する。
3 2に[B]をまぶしておく。頭付きでないえびは殻と背わたを取り除いたらあらみじん切りにし、塩をまぶして玉ねぎ、パクチーの茎と一緒にして片栗粉をまぶす。
4 [A]を合わせて粘りが出るまでしっかり捏ねてから3を加え混ぜ、4等分してだんご状にする。
5 角皿の中央に調理網2枚をのせ、クッキングシートを敷く。
6 クッキングシートの上に2の有頭えびを並べ、切り込みに4の団子を詰め、上にパクチーの葉をのせ、シュウマイの皮をのせる。
7 6を上段に入れる。
まかせて調理 蒸す・ゆでる → スタート
レシピ提供：ボブとアンジー　監修：家庭料理アドバイザー　たに　けいこ",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1299
えびすり身のパンはさみ揚げ(ハトシ),4人分,約570kcal,1.1g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1488.jpg,"むきえび: 300g
豚背脂: 50g
卵白: 1個分
酒: 大さじ1
塩: 小さじ1/5
しょうが汁: 小さじ1
片栗粉: 大さじ2/3
食パン(12枚切り): 4枚
ごま(白): 40g
パセリ: 適量
パイナップル(缶詰): 適量
チェリー(缶詰): 適量
サラダ油: 適量","1 水タンクに水を入れる。(水位1以上)
2 むきえびは、背わたを取る。
3 豚背脂は、細かく刻む。
4 2、3をフードプロセッサーにかけてすり身にし、[A]も加える。
5 食パンは直径4cmの丸型で抜く。
6 5に4をぬってサンドし、表面にも4を薄く塗り、ごまをまぶし付ける。
7 角皿に調理網2枚をのせ、ハケでサラダ油をぬった6を中央に並べる。
8 角皿を上段に入れる。
まかせて調理 網焼き・揚げる → スタート
9 器に8を盛り、パセリ、パイナップル、チェリーを飾る。
レシピ提供：ボブとアンジー　監修：料理研究家　木村　通子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1488
えびのチリソース,4人分,約125kcal,1.7g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0959.jpg,"えび: 16尾(320g)
酒: 小さじ2
片栗粉: 大さじ1と1/3
しめじ(小房に分ける): 1パック
白ねぎ(みじん切り): 1本(100g)
ケチャップ: 大さじ3
酒、しょうゆ: 各大さじ1と1/2
砂糖、片栗粉: 各小さじ2
ごま油: 小さじ1
豆板醤: 小さじ1/2
鶏がらスープの素: 小さじ1/2
水: 大さじ3","1 水タンクに水を入れる。(水位を1以上)
2 えびと[A]をからめておく。
3 底の平らな耐熱容器にしめじ、白ねぎと[B]を加えて混ぜ、2をのせる。
4 3を上段に入れる。
まかせて調理 炒める → スタート → 強め(※30秒以内に押す)
手動でするときは：下段に入れ、ウォーターグリル・予熱なしで20分※自動加熱とは棚位置が異なります。
5 加熱後、よく混ぜる。
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。
詳しくは、《コチラ！》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0959
