メニュー名,メニュー番号,分量,カロリー,調理時間,画像URL,材料,作り方,URL
干焼蝦仁(カンシャオシャーレン)(味の素),0548,材料：4人分,,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4548.jpg,"えび: 約300g(16～20尾)
片栗粉: 大さじ1
白ねぎ(みじん切り): 約30g
サラダ油: 大さじ2
「Cook Do®」＜干焼蝦仁(カンシャオシャーレン)用＞3～4人前: 1箱","1 まぜ技ユニットを本体にセットする。
2 えびは殻をむいて背開きにし、背ワタを取って、片栗粉をまぶす。
3 内鍋に2と残りの材料を順に入れて、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0548(干焼蝦仁(カンシャオシャーレン)(味の素)) → 調理を開始する → スタート

★このレシピは、味の素株式会社ご提供レシピです。
味の素からのおすすめポイント
コク豊かな熟成豆板醤を香ばしく炒めて、
えびと香味野菜の香り豊な蝦油（シャーユ）を加えたソースが、プリプリのえびの甘味を引き立てます。
「Cook Do®」について、くわしくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4548
簡単ガトーショコラ(cotta),0337,,,1時間10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4337.jpg,"チョコレート: 150ｇ
無塩バター: 90ｇ
牛乳: 35g
卵: 150ｇ(M3個)
細目グラニュー糖: 80g
薄力粉: 35g
ココア: 35g
ベーキングパウダー: 5g
トッピング用粉砂糖: 適量","1 卵は室温に戻しておく。[A]は合わせてふるっておく。内鍋の内側に薄く無塩バター(分量外)をぬっておく。
2 ボウルにチョコレート・無塩バター・牛乳を入れ、50～55℃程度の湯せんで溶かす。
3 別のボウルに卵・グラニュー糖を入れ、ホイッパーで混ぜ合わせる。
4 3に2の溶かしたチョコレートを加え、ホイッパーで混ぜ合わせる。
5 4にふるっておいた[A]を加え、混ぜ合わせる。
6 内鍋に5を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0337(簡単ガトーショコラ(cotta)) → 調理を開始する → スタート
無線LAN接続をしていないときは：手動で作る → ケーキを焼く → 約1時間 → スタート
7 加熱後、竹串を刺してどろっと生地がついてこなければ焼き上がり。焼きが足りない場合は延長で加熱を追加してください。
8 加熱直後はまだ柔らかいので、粗熱が取れてから内鍋から取り出して網にのせて冷ます。内鍋に入るサイズのお皿を当てて、ひっくり返す。
9 冷めたらトッピング用粉砂糖をふって出来上がり。
★このレシピは、製菓製パン材料の通販サイトcottaとのコラボメニューです。
[レシピ提供]　：　あいりおーさん
あいりおーさんのご紹介はこちら ↓

必要材料はこちらでご購入いただけます　↓

※cottaに会員登録が必要です。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4337
簡単基本のスポンジケーキ(SHOWA),0486,,約128kcal(1/5切れ),25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4486.jpg,"SHOWAまんまるおおきなホットケーキのもと: 1袋(100g)
卵: M1個
砂糖: 大さじ2
牛乳: 60mL","1 内鍋の内側1/3の高さまで、バター(分量外)を多めにぬる。
2 ボウルに卵、砂糖を入れて泡立器でよく混ぜ、牛乳を加えてさらに混ぜる。
3 2にSHOWAまんまるおおきなホットケーキのもとを加えて約1分間よく混ぜる。
4 1の内鍋に3を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0486(簡単基本のスポンジケーキ(SHOWA)) → 調理を開始する → スタート
5 加熱後、内鍋から取り出し、網にのせて冷ます。
※加熱後、取り出すときは、内鍋に入るサイズの皿にラップを敷いて、皿を当ててひっくり返し取り出す。
※取り出す際は、やけどに注意してください。

★このレシピは、昭和産業(株)ご提供レシピです。
昭和産業(株)からのおすすめポイント
時間がかかるスポンジケーキ作りも、まんまるおおきなホットケーキのもとを使えば簡単・時短に作れます。
ハンドミキサーを使用せずに、泡立器で約1分間混ぜるだけなので、スポンジケーキ作りをより気軽にお楽しみいただけます。
お好みでデコレーションして、クリスマスや誕生日ケーキとしても気軽にお使いいただけます。
■まんまるおおきなホットケーキのもと
SHOWA「まんまるおおきなホットケーキのもと」は、
1分間泡立器で混ぜるだけで、ふんわり軽い食感のホットケーキが作れるミックスです。
ハンドミキサーや特別な器具は必要ありません。
従来のホットケーキミックスとは違い、スフレのようなふんわり食感に仕上がるので、
ケーキ作りをより簡単に、気軽にお楽しみいただけます！
SHOWA「まんまるおおきなホットケーキのもと」について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4486
「カンタン酢」で作るトロトロ角煮,0449,材料：4人分,約952kcal,1時間50分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4449.jpg,"豚バラ肉(かたまり): 800g
長ねぎ(青い部分): １本分
水: 400mL
ミツカン　カンタン酢™: 200mL
料理酒: 200mL
しょうゆ: 150mL
にんにく: １かけ
しょうが: １かけ
長ねぎ: 適量","1 豚バラ肉は5cm角に切る。しょうがは皮つきのまま薄切りにする。にんにくは軽くつぶす。
2 内鍋に豚バラ肉を入れ、かぶる程度まで水(分量外)を入れる。
手動で作る → スープを作る → まぜない → 約10分 → 調理を開始する → スタート
3 加熱後、豚バラ肉を内鍋から取り出す。内鍋を軽く洗い、豚バラ肉、長ねぎの青い部分、[A]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0449(「カンタン酢」で作るトロトロ角煮) → 調理を開始する → スタート
4 加熱後、器に盛り、お好みで斜め薄切りし水にさらした長ねぎをのせる。
※お好みで煮詰めた煮汁をかけてもより美味しいです。
※一度冷ますと、さらに味がしっかりなじみます。
おすすめポイント
みりんの代わりに「カンタン酢™」を使ってトロトロの角煮が簡単に作れます。

★このレシピは「うちれぴ」とのコラボレーションによる、株式会社Mizkanご提供レシピです。


「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4449
かんぴょうの煮物,0192,材料：4人分,約120kcal,40分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4192.jpg,"かんぴょう(乾燥): 20ｇ
酒: 100ｍＬ
みりん: 100ｍＬ
しょうゆ: 大さじ2
砂糖: 大さじ1/2","1 かんぴょうをたっぷりの水で戻す。
2 内鍋に水気をきったかんぴょうと残りの材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0192(かんぴょうの煮物) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4192
季節の生パスタ　春キャベツとしらす(ヘルシオデリ),,材料：2人分,約283kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000172.jpg,"生パスタ: 3玉
春キャベツ: 1パック
しらす: 1パック
ソース: 1パック
水: 大さじ2
オリーブオイル: 小さじ2","★右上の機種切替ボタンでお持ちの機種に切り替えてから、作り方のご確認をお願いします。
※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※ソースを取り出しやすい固さになるまで解凍する（水をはったボウルに1～2分） 全解凍の必要はありません。
1 まぜ技ユニットを本体にセットする。
2 内鍋の中央に生パスタを置き、その周りに春キャベツを入れる。
3 2の上にソース、水大さじ2、オリーブオイル小さじ2を回し入れ、しらすをほぐしながら加え、本体にセットする。
手動で作る → 煮物を作る(まぜる） → 3分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
4 加熱後、よく混ぜてから器に盛り付ける。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000172
季節のパスタ　あさりのバター醤油(ヘルシオデリ),,材料：3人分,約267kcal,35分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000110.jpg,"生パスタ: 4玉
あさり（ソース入り）: 1パック
ほうれん草・バター: 1パック
水: 100mL","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※ほうれん草・バターは加熱中、常温に置いておきます。
1 まぜ技ユニットを本体にセットする。
2 内鍋に生パスタ、あさり（ソース入り）、水100mLを入れて、本体にセットする。
手動で作る → 煮物を作る(まぜる） → 3分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
3 加熱後、やけどに気をつけながらふたを開け、ほうれん草・バターを加え、軽く混ぜ合わせ、延長で8分加熱する。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000110
季節を食卓に　栗ごはん(ヘルシオデリ),,材料：4人分,約39kcal,60分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000135.jpg,"栗・ごぼう: 1パック
たれ: 1パック
白米: 2合
水: 300mL","★右上の機種切替ボタンでお持ちの機種に切り替えてから、作り方のご確認をお願いします。
※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
1 内鍋に白米2合（洗って水をきる）、水300mL、たれを入れひと混ぜし、栗・ごぼうを入れる。
メニューを選ぶ → カテゴリーで探す → ごはん類 → ごはん → 2合 → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。

※炊飯器で炊く場合は、1の手順で炊飯してください。炊飯器によって炊き加減と調理時間が変わります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000135
季節を食卓に　たけのこごはん(ヘルシオデリ),,材料：4人分,約52kcal,70分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000102.jpg,"たけのこ: 1パック
たれ（にんじん・油揚げ入り）: 1パック
白米: 2合
水: 300mL","★右上の機種切替ボタンでお持ちの機種に切り替えてから、作り方のご確認をお願いします。
※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
※たれ(にんじん、油揚げ入り）はパックから出せるやわらかさになるまで解凍する。（目安：流水1‐2分）全解凍の必要はありません。
1 内鍋に白米2合（洗って水を切る）、水300ｍLを入れる。
2 たけのこ、たれ（にんじん・油揚げ入り）の順にのせて、内鍋を本体にセットする。
メニューを選ぶ → カテゴリーで探す → ごはん類 → ごはん → 2合 → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
※炊飯器で炊く場合は、12の手順で炊飯してください。炊飯器によって炊き加減と調理時間が変わります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000102
絹ごし麻婆豆腐(もっとクック専用),,材料：4人分,約230kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000045.jpg,"絹ごし豆腐(水切りをして、2cm角に切る): 2丁(600g)
豚ひき肉: 150g
白ねぎ(みじん切り): 40g
しょうが、にんにく(みじん切り): 各1かけ
水: 大さじ4
甜麺醤: 大さじ1
しょうゆ: 大さじ1
酒: 大さじ1
片栗粉: 大さじ1
砂糖: 小さじ2
豆板醤: 小さじ1～2
鶏がらスープの素(顆粒): 小さじ1
ごま油: 小さじ1","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に豆腐を入れ、その上に混ぜ合わせた[A]を広げるように入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → 絹ごし麻婆豆腐(もっとクック専用) → 調理を開始する → スタート
3 加熱後、全体を軽く混ぜる。

もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000045
きのこシチュー,0313,材料：4人分,約215kcal,45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4313.jpg,"ブナシメジ: 100ｇ
ブナピー: 100ｇ
エリンギ: 100ｇ
玉ねぎ(くし切り): 1個(200g)
にんじん(乱切り): 1本(150g)
じゃがいも(4つ切り): 3個(450g)
薄力粉: 大さじ3
水: 200mL
牛乳: 200mL
塩: 小さじ1
バター(小さめに切る): 20g","1 まぜ技ユニットを本体にセットする。
2 きのこは、食べやすい大きさに切る。
3 ボウルに[A]を入れ、薄力粉をまんべんなくまぶして約5分おき、なじませる。
※材料にまんべんなく薄力粉をまぶすことで、なめらかに 仕上がります。薄力粉が内鍋の底にたまった状態で加熱するとダマの原因になります。
4 内鍋に、3と[B]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0313(きのこシチュー) → 調理を開始する → スタート
★このレシピは、ホクト株式会社とのコラボメニューです。
健康をきのこでカンタンに美味しく！
きのこでお手軽！減塩レシピのご紹介です。
素材のうま味を最大限に引き出せるホットクックで、うま味の豊富なきのこを活用すれば、ルウを使わなくてもおいしく仕上がります。
余分な塩や油を摂らずに済むのも◎

きのこらぼとは・・・
きのこについての詳しい情報がもりだくさんの情報サイトです。
きのこの栄養素が持つチカラやさまざまなきのこの魅力については、コチラ！",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4313
きのこじゃが,0314,材料：4人分,約144kcal,35分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4314.jpg,"ブナシメジ: 100ｇ
ブナピー: 100ｇ
マイタケ: 100ｇ
エリンギ: 100ｇ
じゃがいも(4～6つ切り): 3個(450g)
玉ねぎ(くし切り): 1個(200g)
にんじん(乱切り): 1本(150g)
しょうゆ: 大さじ3と1/2
砂糖: 大さじ1と1/3
酒: 大さじ1","1 まぜ技ユニットを本体にセットする。
2 きのこは、食べやすい大きさに切る。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0314(きのこじゃが) → 調理を開始する → スタート
★このレシピは、ホクト株式会社とのコラボメニューです。
健康をきのこでカンタンに美味しく！
ヘルシーで減塩もできるレシピのご紹介です♪
きのこは100ｇ当たり約20kcalと低カロリーなうえに健康に欠かせない食物繊維、味の決め手となるうま味が豊富です。
きのこを複数種類組み合わせることで味に深みがでますよ。

きのこらぼとは・・・
きのこについての詳しい情報がもりだくさんの情報サイトです。
きのこの栄養素が持つチカラやさまざまなきのこの魅力については、コチラ！",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4314
きのこスープ,0310,材料：4人分,約18kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4310.jpg,"ブナシメジ: 100ｇ
ブナピー: 100ｇ
マイタケ: 100ｇ
エリンギ: 100ｇ
水: 400mL
塩: 小さじ1弱","1 まぜ技ユニットを本体にセットする。
2 きのこは、食べやすい大きさに切る。全材料を内鍋に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0310(きのこスープ) → 調理を開始する → スタート
★このレシピは、ホクト株式会社とのコラボメニューです。
健康をきのこでカンタンに美味しく！
毎日の体調管理に！「きのこで菌活」がオススメです。
きのこには老廃物の排除を促し、「健康の要」である腸を整える食物繊維が豊富です。
またホットクックで調理することで、きのこに豊富なうま味を最大限に引き出してくれるので、塩だけとは思えない満足感のある一品に仕上がります！

きのこらぼとは・・・
きのこについての詳しい情報がもりだくさんの情報サイトです。
きのこの栄養素が持つチカラやさまざまなきのこの魅力については、コチラ！",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4310
きのこチャウダー,0311,材料：4人分,約74kcal,35分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4311.jpg,"ブナシメジ: 100ｇ
ブナピー: 100ｇ
エリンギ: 100ｇ
玉ねぎ(1cmの角切り): 1/2個(100g)
じゃがいも(1cmの角切り): 1/2個(75g)
にんじん(1cmの角切り): 1/2本(75g)
水: 200mL
牛乳: 200mL
塩: 小さじ1","1 まぜ技ユニットを本体にセットする。
2 きのこは、食べやすい大きさに切る。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0311(きのこチャウダー) → 調理を開始する → スタート
★このレシピは、ホクト株式会社とのコラボメニューです。
健康をきのこでカンタンに美味しく！
きのこに豊富な２種類のうま味成分「グルタミン酸」と「グアニル酸」はうま味の相乗効果が起きるため、調味料は塩だけで魚介を感じさせる濃厚なおいしさになります。
ホットクックで最大限に引き出したきのこのうま味で美味しく減塩しましょう♪

きのこらぼとは・・・
きのこについての詳しい情報がもりだくさんの情報サイトです。
きのこの栄養素が持つチカラやさまざまなきのこの魅力については、コチラ！",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4311
きのこのうま味たっぷりトマトソース,0739,,約179kcal(全量),30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4739.jpg,"ホクト　ブナシメジ: 100g
ホクト　マイタケ: 100g
玉ねぎ: 1個(200g)
トマトの水煮(缶詰・実は粗く刻む): 1缶(400g)
水: 100mL
塩: 小さじ1","1 まぜ技ユニットを本体にセットする。
2 ブナシメジは石づきを取り、マイタケと共に小房に分ける。玉ねぎは薄切りにする。
3 内鍋に2と残りの材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0739(きのこのうま味たっぷりトマトソース) → 調理を開始する → スタート
4 加熱後、全体を混ぜる。

★このレシピは「うちれぴ」とのコラボレーションによる、ホクト株式会社ご提供レシピです。
ホクトからのおすすめポイント
■健康をきのこでカンタンに美味しく！
きのこのうま味がたっぷり詰まった、作り置きメニューをご紹介！
きのこにはうま味成分である「グアニル酸」と「グルタミン酸」が豊富に含まれているので、うま味の相乗効果とホットクックの力で少ない材料でも美味しいトマトソースに仕上がります。
パスタソースやオムライス、グリルした魚や肉にかけても美味しくお召し上がりいただけるので、小分けにして冷凍保存もオススメですよ♪



「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4739
きのこのお好み焼き風,0738,材料：1枚(2人分),約383kcal(1/2切れ分),45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4738.jpg,"ホクト　ブナシメジ: 50g
ホクト　ブナピー: 50g
キャベツ: 200g
お好み焼きミックス粉: 100g
卵: 1個
水: 150mL
豚バラ肉(薄切り): 4枚(80g)
お好みソース: お好みで","1 ブナシメジとブナピーは石づきを取り、小房に分ける。キャベツは1.5cm角に切る。
2 ボウルにお好み焼きミックス粉と卵、水を加え、泡立器でよく混ぜる。混ざったら1を加えてゴムベラでさっくりと混ぜ合わせる。
3 内鍋に豚肉を並べ、2を入れ、生地をならす。
4 内鍋を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0738(きのこのお好み焼き風) → 調理を開始する → スタート
5 加熱後、内鍋から取り出し、底を上にして、食べやすい大きさに切り分ける。
6 お好みでソースをかける。

★このレシピは「うちれぴ」とのコラボレーションによる、ホクト株式会社ご提供レシピです。
ホクトからのおすすめポイント
■健康をきのこでカンタンに美味しく！
ホットクックがきのこのうま味を引き出してくれるので、ソースなしでも満足できる味わいです。
子ども(6～7歳)の食物繊維の目標量の約半分がこの一品で摂れるので、お子様の腸からの体調管理にもオススメ♪
ホットクックで洗い物を少なく作れるのもうれしいポイントです。



「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4738
きのこのケークサレ,0737,,約230kcal(1/4切れ分),45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4737.jpg,"ホクト　ブナピー(またはブナシメジ): 100g
ベーコン: 20g
いんげん: 5本
ホットケーキミックス: 150g
卵: 1個
牛乳: 120mL
ピザ用チーズ: 30g","1 ブナピーは石づきを取り、小房に分ける。ベーコンは短冊切りにし、いんげんは1cm幅の輪切りにする。
2 ボウルにホットケーキミックスと卵、牛乳を加え、泡立器でよく混ぜる。混ざったら1とチーズを加えてゴムベラでさっくりと混ぜ合わせる。
3 内鍋にバター(分量外)をぬり、2を入れて本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0737(きのこのケークサレ) → 調理を開始する → スタート
4 加熱後、内鍋から取り出し、底を上にして皿の上で冷まし、食べやすい大きさに切り分ける。

★このレシピは「うちれぴ」とのコラボレーションによる、ホクト株式会社ご提供レシピです。
ホクトからのおすすめポイント
■健康をきのこでカンタンに美味しく！
きのこに含まれるうま味成分が、ホットクックによって最大限に引き出されている一品です。
きのこを加えることで、ホットケーキでは摂りづらいビタミン・ミネラル・食物繊維がたっぷり補えるので、育ち盛りのお子様の朝ごはんやおやつにオススメです。
◎ベーコン・いんげん・チーズをマヨネーズ大さじ1に変えると、健康おやつにも嬉しい、やさしい甘さのケーキがお楽しみいただけます♪



「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4737
きのこの佃煮,0027,,約287kcal(全量),30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4027.jpg,"えのきだけ、生しいたけ、しめじ、まいたけ: 合わせて400ｇ
しょうゆ、みりん: 各大さじ3
砂糖: 大さじ1と1/2","1 まぜ技ユニットを本体にセットする。
2 えのきだけは汚れた部分を切り落とし、半分の長さに切る。生しいたけは石づきを取り、薄切りにする。しめじは小房に分け、まいたけはほぐす。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0027(きのこの佃煮) → 調理を開始する → スタート
4 加熱後、混ぜ合わせて味をなじませる。
※もう少し煮詰めたいときは、[手動で作る] → [煮詰める]を使って煮詰めることができます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4027
きのこのペペロンチーノ,0742,材料：2人分,約398kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4742.jpg,"はごろもフーズ　Carboff　ロングパスタ: 160g
オリーブオイル: 大さじ2
しめじ(小房に分ける): 約100g
にんにく(薄切り): 1かけ(10g)
とうがらし(輪切り): 0.4g
水: 250mL
はごろもフーズ　オイル不使用シーチキンＬフレーク: 2缶(140g)
パセリ(みじん切り): 適量","1 まぜ技ユニットを本体にセットする。
2 内鍋に半分に折ったCarboff　ロングパスタ、オリーブオイルを入れ、混ぜ合わせる。
3 2にしめじ、にんにく、[A]の順に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0742(きのこのペペロンチーノ) → 調理を開始する → スタート
4 器に盛りつけ、パセリをかける。

★このレシピは「うちれぴ」とのコラボレーションによる、はごろもフーズ株式会社ご提供レシピです。
はごろもフーズからのおすすめポイント
糖質50％OFF、ゆで時間７分のパスタを使用しております。
パスタにオリーブオイルを混ぜることにより、麺と麺がくっつかなくなります。
生のパセリが無い場合は、「乾燥パセリ」でもOKです。

「Carboff　ロングパスタ」について、詳しくは画像をタップしてください。


「オイル不使用シーチキンＬフレーク」について、詳しくは画像をタップしてください。



「オイル不使用シーチキン」は、はごろもフーズ株式会社の登録商標です。

「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4742
きのこミネストローネ,0312,材料：4人分,約55kcal,35分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4312.jpg,"ブナシメジ: 100ｇ
ブナピー: 100ｇ
マイタケ: 100ｇ
エリンギ: 100ｇ
玉ねぎ(1cmの角切り): 1/2個(100g)
にんじん(1cmの角切り): 1/2本(75g)
じゃがいも(1cmの角切り): 1/2個(75ｇ)
トマトの水煮(缶詰・実は粗く刻む): 1/2缶(200g)
水: 300mL
塩: 小さじ3/4","1 まぜ技ユニットを本体にセットする。
2 きのこは、食べやすい大きさに切る。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0312(きのこミネストローネ) → 調理を開始する → スタート
★このレシピは、ホクト株式会社とのコラボメニューです。
健康をきのこでカンタンに美味しく！
塩分の摂りすぎが気になる方にオススメな、減塩レシピのご紹介です。
うま味成分が豊富なきのことトマトの相性抜群の組み合わせ！
うま味の相乗効果がおきるので、ベーコンなどなくても美味しく仕上がります♪

きのこらぼとは・・・
きのこについての詳しい情報がもりだくさんの情報サイトです。
きのこの栄養素が持つチカラやさまざまなきのこの魅力については、コチラ！",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4312
きのこリゾット,0214,材料：4人分,約348 kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4214.jpg,"米: 1合(150g)
玉ねぎ(みじん切り): 1/4個(50g)
しめじ(小房に分ける): 1パック(100g)
エリンギ(縦に4等分に切り、薄切り): 1パック(100g)
厚切りベーコン(1cmの角切り): 120g
コンソメ(顆粒): 小さじ1
バター: 15g
にんにく(みじん切り): 1かけ
塩、こしょう: 各少々
牛乳: 200mL
水: 150mL
粉チーズ: 大さじ1
パセリ(みじん切り): 適量","1 まぜ技ユニットを本体にセットする。
2 米は洗って水気をきり、内鍋に入れる。
3 2に残りの材料を入れて混ぜ合わせ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0214(きのこリゾット) → 調理を開始する → スタート
4 加熱後、粉チーズを加えて軽く混ぜ、器に盛り付けパセリを散らす。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4214
キムチ豆腐,0235,材料：4人分,約206kcal,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4235.jpg,"豚薄切り肉(3～4cm幅に切る): 200ｇ
もめん豆腐(16等分に切る): 1丁(300ｇ)
白菜キムチ(ひと口大に切る): 200ｇ
顆粒コンソメ: 小さじ2
しょうゆ: 大さじ1
酒: 大さじ3
ごま油: 小さじ2
青ねぎ: 2本","1 まぜ技ユニットを本体にセットする。
2 ビニール袋に豚肉とキムチを入れてよくもみこむ。
3 内鍋に青ねぎ以外の材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0235(キムチ豆腐) → 調理を開始する → スタート
4 加熱後、小口に切った青ねぎを散らす。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4235
キャベツカレー,0236,材料：4人分,約320kcal,45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4236.jpg,"玉ねぎ: 3個
市販のカレールウ: 4～5皿分
キャベツ: 600ｇ
合びき肉: 200ｇ","1 まぜ技ユニットを本体にセットする。
2 玉ねぎは2個分をみじん切りにし、残りの1個分を横薄切りにする。キャベツはくし切りにした後、横半分に切る。
3 内鍋に玉ねぎを入れ、カレールウを入れる。キャベツは切ったかたまりのまま、内鍋に入れる。合びき肉をほぐし入れ、本体にセットする。

※写真の内鍋は、実際のものとは異なります。
メニューを選ぶ → メニュー番号で探す → No.0236(キャベツカレー) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4236
キャベツの丸ごとスープ煮,0028,,約1320kcal(全量),1時間,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4028.jpg,"キャベツ: 1個(1.2kg)
コンソメ(顆粒): 大さじ2
ベーコン(2～3cm幅に切る): 12枚
トマトの水煮(缶詰・実は粗く刻む): 1缶(400g)
水: 200mL
塩、こしょう: 各適量","1 内鍋にコンソメを入れ、6等分に切ったキャベツを入れる。
2 1に塩、こしょう以外の残りの材料を加え、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0028(キャベツの丸ごとスープ煮) → 調理を開始する → スタート
3 加熱後、塩、こしょうで味をととのえる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4028
